season,name,winner_name
2023,Roland Garros,Novak Djokovic
2022,Roland Garros,Rafael Nadal
2021,Roland Garros,Novak Djokovic
2020,Roland Garros,Rafael Nadal
2019,Roland Garros,Rafael Nadal
2018,Roland Garros,Rafael Nadal
2017,Roland Garros,Rafael Nadal
2016,Roland Garros,Novak Djokovic
2015,Roland Garros,Stan Wawrinka
2014,Roland Garros,Rafael Nadal
2013,Roland Garros,Rafael Nadal
2012,Roland Garros,Rafael Nadal
2011,Roland Garros,Rafael Nadal
2010,Roland Garros,Rafael Nadal
2009,Roland Garros,Roger Federer
2008,Roland Garros,Rafael Nadal
2007,Roland Garros,Rafael Nadal
2006,Roland Garros,Rafael Nadal
2005,Roland Garros,Rafael Nadal
2004,Roland Garros,Gaston Gaudio
2023,US Open,Novak Djokovic
2022,US Open,Carlos Alcaraz Garfia
2021,US Open,Daniil Medvedev
2020,US Open,Dominic Thiem
2019,US Open,Rafael Nadal
2018,US Open,Novak Djokovic
2017,US Open,Rafael Nadal
2016,US Open,Stan Wawrinka
2015,US Open,Novak Djokovic
2014,US Open,Marin Cilic
2013,US Open,Rafael Nadal
2012,US Open,Andy Murray
2011,US Open,Novak Djokovic
2010,US Open,Rafael Nadal
2009,US Open,Juan Martin Del Potro
2008,US Open,Roger Federer
2007,US Open,Roger Federer
2006,US Open,Roger Federer
2005,US Open,Roger Federer
2004,US Open,Roger Federer
2023,Wimbledon,Carlos Alcaraz Garfia
2022,Wimbledon,Novak Djokovic
2021,Wimbledon,Novak Djokovic
2019,Wimbledon,Novak Djokovic
2018,Wimbledon,Novak Djokovic
2017,Wimbledon,Roger Federer
2016,Wimbledon,Andy Murray
2015,Wimbledon,Novak Djokovic
2014,Wimbledon,Novak Djokovic
2013,Wimbledon,Andy Murray
2012,Wimbledon,Roger Federer
2011,Wimbledon,Novak Djokovic
2010,Wimbledon,Rafael Nadal
2009,Wimbledon,Roger Federer
2008,Wimbledon,Rafael Nadal
2007,Wimbledon,Roger Federer
2006,Wimbledon,Roger Federer
2005,Wimbledon,Roger Federer
2004,Wimbledon,Roger Federer
2003,Wimbledon,Roger Federer
2023,Australian Open,Novak Djokovic
2022,Australian Open,Rafael Nadal
2021,Australian Open,Novak Djokovic
2020,Australian Open,Novak Djokovic
2019,Australian Open,Novak Djokovic
2018,Australian Open,Roger Federer
2017,Australian Open,Roger Federer
2016,Australian Open,Novak Djokovic
2015,Australian Open,Novak Djokovic
2014,Australian Open,Stan Wawrinka
2013,Australian Open,Novak Djokovic
2012,Australian Open,Novak Djokovic
2011,Australian Open,Novak Djokovic
2010,Australian Open,Roger Federer
2009,Australian Open,Rafael Nadal
2008,Australian Open,Novak Djokovic
2007,Australian Open,Roger Federer
2006,Australian Open,Roger Federer
2005,Australian Open,Marat Safin
2004,Australian Open,Roger Federer
